taxon	min	max
Pachycondyla_gracilicornis	33.9	38.0
Pachycondyla_labandeirai	46.2	50.3
Pachycondyla_lutzi	40.4	48.6
Pachycondyla_messeliana	40.4	48.6
Pachycondyla_minutansata	11.607999999999999	15.97
Pachycondyla_nubeculata	11.607999999999999	15.97
Pachycondyla_oligocenica	33.9	38.0
Pachycondyla_parvula	40.4	48.6
Pachycondyla_petiolosa	40.4	48.6
Pachycondyla_petrosa	40.4	48.6
Pachycondyla_succinea	33.9	38.0
Pachycondyla_tristis	33.9	38.0
Platythyrea_dentata	13.82	20.44
Platythyrea_dlusskyi	48.6	55.8
Platythyrea_primaeva	28.4	33.9
Platythyrea_procera	13.82	20.44
Platythyrea_pumilio	13.82	20.44
Platythyrea_scalprum	13.82	20.44
Ponera_elegantissima	23.03	28.4
Ponera_leptocephala	5.332999999999999	11.607999999999999
Ponera_lobulifera	33.9	38.0
Ponera_mayri	33.9	38.0
Ponera_wheeleri	33.9	38.0
Ponerites_antropovi	33.9	38.0
Ponerites_atavinus	11.607999999999999	12.7
Ponerites_coloradensis	46.2	50.3
Ponerites_crawleyi	33.9	38.0
Ponerites_elongatus	11.607999999999999	12.7
Ponerites_eocenicus	46.2	50.3
Ponerites_gracilior	11.607999999999999	12.7
Ponerites_hooleyi	33.9	38.0
Ponerites_hypoponeroides	46.2	50.3
Ponerites_kishenehne	41.3	47.8
Ponerites_nitidus	11.607999999999999	12.7
Ponerites_oblongiceps	11.607999999999999	12.7
Ponerites_tenuis	11.607999999999999	12.7
Ponerites_umbrus	11.607999999999999	15.97
Poneropsis_crassinervis	12.7	13.65
Poneropsis_escheri	11.607999999999999	12.7
Poneropsis_fuliginosa	11.607999999999999	12.7
Poneropsis_globosa	11.607999999999999	12.7
Poneropsis_longaeva	11.607999999999999	12.7
Poneropsis_rhenana	23.03	28.4
Poneropsis_stygia	11.607999999999999	12.7
Poneropsis_veneraria	11.607999999999999	12.7
Poneropsis_ventrosa	11.607999999999999	12.7
Protopone_dubia	40.4	48.6
Protopone_germanica	40.4	48.6
Protopone_magna	40.4	48.6
Protopone_oculata	40.4	48.6
Protopone_primigena	41.3	47.8
Protopone_sepulta	40.4	48.6
Protopone_vetula	40.4	48.6
Taphopone_aberrans	33.9	38.0
Taphopone_karaganensis	11.607999999999999	15.97
Taphopone_macroptera	33.9	38.0
Taphopone_microptera	33.9	38.0
Taphopone_petrosa	33.9	38.0
Taphopone_stauropolitanus	11.607999999999999	15.97
Bradoponera_electrina	33.9	38.0
Bradoponera_meieri	33.9	38.0
Bradoponera_similis	33.9	38.0
Bradoponera_wunderlichi	33.9	38.0
Discothyrea_gigas	13.82	20.44
Discothyrea_maya	15.97	23.03
Proceratium_denticulatum	13.82	20.44
